input,gold_hard,fine_label,llm_soft,llm_hard
"What do the names Neil , Mary , and Anthony mean ?",description,24,"[{'description': -0.00088434125, 'entity': -7.166495, 'human': -9.137763, 'n': -12.539503, 'location': -14.694937}]",description
"What European capital celebrated its 2 , 000th anniversary in 1951 ?",location,32,"[{'location': -0.0065796426, 'entity': -5.348628, 'description': -6.864291, 'n': -7.199015, 'ab': -11.408266}]",location
Why do people in the upper peninsula of Michagin say `` eh ? '' ?,description,27,"[{'description': -0.0001283481, 'entity': -9.02494, 'human': -12.198485, 'location': -13.402426, 'n': -13.673804}]",description
What flower did Vincent Van Gogh paint ?,entity,14,"[{'description': -0.020754147, 'entity': -3.8856757, 'n': -12.081331, 'location': -14.7408, 'human': -15.40906}]",description
What country was the setting of You Only Live Twice ?,location,33,"[{'location': -0.06320068, 'entity': -2.8033967, 'description': -7.41474, 'ab': -10.624091, 'n': -11.155676}]",location
What was Thatcher 's approval rating after 10 years in power ?,numeric value,45,"[{'n': -1.1430258e-06, 'entity': -14.073708, 'description': -14.834503, 'ab': -16.380821, 'human': -18.27974}]",n
Winnie the Pooh is what kind of animal ?,entity,2,"[{'entity': -0.32965958, 'description': -1.2714473, 'human': -7.8303695, 'n': -11.752763, 'location': -14.340768}]",entity
"What was the first Funk 'N Lata , Brazilian group , success ?",description,25,"[{'description': -0.3639633, 'entity': -1.1876634, 'n': -9.303621, 'human': -10.3628645, 'ab': -10.677829}]",description
What is a handheld PC ?,description,24,"[{'description': -0.556723, 'entity': -0.8512022, 'ab': -11.783674, 'n': -11.892102, 'location': -16.239698}]",description
What did John Hinckley do to impress Jodie Foster ?,description,25,"[{'description': -0.00071081106, 'entity': -7.374925, 'human': -9.407754, 'n': -13.329521, 'location': -15.679878}]",description
What is Larry King 's job ?,human being,30,"[{'human': -0.58755094, 'description': -0.9373739, 'entity': -2.9452395, 'n': -10.021045, 'ab': -11.068095}]",human
How many calories are in a tomato ?,numeric value,38,"[{'n': -3.2906587e-06, 'entity': -12.752582, 'description': -14.670268, 'ab': -17.445124, 'human': -19.582148}]",n
In what state was the first co-educational college established,location,36,"[{'location': -0.0013436314, 'entity': -6.7363973, 'description': -9.394975, 'ab': -9.606111, 'n': -12.126595}]",location
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,entity,8,"[{'description': -0.11884619, 'entity': -2.1896698, 'n': -9.351199, 'location': -11.784311, 'human': -12.404016}]",description
What is the treatment for depression ?,entity,20,"[{'description': -0.0013185028, 'entity': -6.638075, 'human': -12.313108, 'n': -12.571401, 'ab': -16.258207}]",description
What is a fear of slime ?,entity,7,"[{'description': -0.00042246125, 'entity': -7.774791, 'n': -13.211298, 'human': -15.195086, 'ab': -16.12243}]",description
What country in Latin America is the largest one ?,location,33,"[{'location': -0.37172115, 'entity': -1.1861361, 'description': -5.33201, 'n': -8.4670725, 'ab': -11.5747385}]",location
On which Hawaiian island is Pearl Harbor ?,location,35,"[{'location': -0.0003746971, 'entity': -7.955307, 'description': -11.078949, 'n': -11.80024, 'ab': -13.980026}]",location
"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",human being,29,"[{'description': -0.68823695, 'entity': -0.6981399, 'human': -10.621128, 'n': -12.567029, 'location': -14.106235}]",description
What Marx Brothers movie centers on a stolen painting ?,entity,5,"[{'description': -0.015400032, 'entity': -4.18153, 'n': -12.194347, 'human': -13.807384, 'location': -14.20528}]",description
What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,description,25,"[{'description': -1.2622395e-06, 'entity': -13.634484, 'n': -15.858161, 'human': -19.397224, 'ab': -20.393793}]",description
What is the origin of the word `` mind '' ?,description,25,"[{'description': -0.071764074, 'entity': -2.6713657, 'ab': -9.434076, 'n': -12.197381, 'location': -12.466882}]",description
When was Dick Clark born ?,numeric value,39,"[{'n': -0.020822491, 'entity': -4.0178776, 'human': -6.1667113, 'description': -7.8753138, 'location': -9.181886}]",n
What game is fatal to anybody over 21 ?,entity,17,"[{'description': -0.00084073155, 'entity': -7.09575, 'n': -11.931695, 'human': -12.297371, 'ab': -14.708261}]",description
What is the death toll of people dying from tuberculosis ?,numeric value,43,"[{'n': -5.9085025e-05, 'entity': -9.80242, 'description': -12.507955, 'ab': -15.943471, 'human': -17.066586}]",n
What happened to Moon Maiden ?,description,25,"[{'description': -0.00680568, 'entity': -4.9935303, 'n': -14.140944, 'human': -15.682792, 'location': -15.894706}]",description
What city is wiener schnitzel named for ?,location,32,"[{'location': -0.00027649727, 'entity': -8.27511, 'description': -11.164735, 'ab': -12.073968, 'n': -13.2156925}]",location
What are the Urals ?,description,24,"[{'description': -0.3029616, 'entity': -1.3513701, 'location': -5.998983, 'n': -12.247273, 'ab': -13.647825}]",description
How can you stop the itch from poison ivy ?,description,26,"[{'description': -0.00029164052, 'entity': -8.173181, 'human': -11.880028, 'n': -12.952035, 'location': -15.010583}]",description
What desert has the highest sand dunes ?,location,35,"[{'description': -0.020482104, 'entity': -4.041135, 'location': -5.9660153, 'n': -8.940357, 'human': -14.238294}]",description
What two countries contain Sierra Nevada mountains ?,location,33,"[{'location': -0.0022179184, 'entity': -6.17201, 'description': -9.13059, 'n': -10.830198, 'ab': -14.841885}]",location
How do you tell your parents you are dating an older man ?,description,26,"[{'description': -0.0023325614, 'human': -6.4676256, 'entity': -7.1663566, 'n': -12.345502, 'location': -14.6766405}]",description
How long was the TV mission of Star Trek 's Enterprise to be ?,numeric value,44,"[{'n': -0.0006593373, 'description': -7.5024824, 'entity': -9.205287, 'ab': -11.944437, 'human': -15.34984}]",n
What phone number can I call to have a tree planted ?,numeric value,37,"[{'n': -0.2278413, 'entity': -1.6960497, 'description': -4.158383, 'ab': -5.5934944, 'human': -7.0705757}]",n
When did the `` Star-Spangled Banner '' become the national anthem ?,numeric value,39,"[{'description': -0.60392004, 'entity': -1.3346709, 'n': -1.6719818, 'ab': -6.540489, 'human': -7.5168304}]",description
Who was Lacan ?,human being,31,"[{'description': -0.7788573, 'entity': -0.96586895, 'human': -1.8300276, 'n': -11.9854765, 'ab': -13.688724}]",description
What are the four natural aids used in riding a horse ?,entity,20,"[{'description': -0.0013175473, 'entity': -6.640096, 'n': -11.748585, 'human': -13.449413, 'location': -14.976955}]",description
What continent 's name appears on the upper left corner of a Budweiser label ?,location,35,"[{'location': -0.1879268, 'entity': -1.934791, 'description': -3.6454463, 'ab': -7.258376, 'n': -9.79042}]",location
Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,human being,29,"[{'human': -0.38691935, 'entity': -1.1560692, 'description': -5.1074166, 'location': -10.308573, 'n': -10.337381}]",human
Who did Bobby Fischer beat to win the world chess championship ?,human being,29,"[{'human': -0.70619726, 'entity': -0.717588, 'description': -3.9904072, 'n': -9.8410845, 'location': -11.667103}]",human
How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,description,26,"[{'description': -0.007496411, 'entity': -4.901463, 'n': -10.602299, 'location': -12.453243, 'human': -12.48164}]",description
Where can I get information and statistics on countries and nations ?,location,35,"[{'entity': -0.15122895, 'description': -2.073417, 'n': -4.276557, 'location': -7.268607, 'ab': -12.344786}]",entity
Name a Gaelic language .,entity,11,"[{'entity': -0.07658661, 'description': -2.6099195, 'human': -8.75339, 'ab': -11.185762, 'n': -11.710726}]",entity
"What day is August 13 , 1971 ?",numeric value,39,"[{'n': -0.0004085664, 'entity': -8.3479805, 'description': -8.753857, 'ab': -11.441647, 'location': -13.0979805}]",n
Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,location,35,"[{'entity': -0.030846445, 'location': -4.0782557, 'description': -4.313828, 'n': -9.807365, 'human': -14.048797}]",entity
How do you send a movie transcript to Hollywood so that it can be produced into a film ?,description,26,"[{'description': -0.039073437, 'entity': -3.262294, 'location': -11.421809, 'n': -11.818041, 'human': -14.159433}]",description
"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",entity,5,"[{'description': -0.20919272, 'entity': -1.7959925, 'n': -3.7844796, 'human': -10.239962, 'location': -10.433825}]",description
What is the origin of blue for boys and pink for girls ?,description,25,"[{'description': -0.00019225522, 'entity': -8.564347, 'n': -13.755273, 'location': -15.068009, 'ab': -16.163612}]",description
What is the name of the Michelangelo painting that shows two hands with fingers touching ?,entity,5,"[{'description': -0.2721766, 'entity': -1.4343318, 'n': -12.946073, 'human': -13.196928, 'location': -13.530179}]",description
How big is a quart ?,numeric value,48,"[{'n': -0.0005184101, 'description': -7.7390966, 'entity': -9.43354, 'ab': -12.776771, 'human': -17.83316}]",n
What is the Hub of London ?,description,24,"[{'location': -0.027940253, 'entity': -3.7953656, 'description': -5.3294, 'ab': -8.451783, 'n': -10.913545}]",location
Jude Law acted in which film ?,entity,5,"[{'entity': -0.31287798, 'description': -1.3457148, 'human': -4.8249702, 'n': -8.29475, 'location': -10.439632}]",entity
What causes panic attacks ?,description,27,"[{'description': -0.00024954765, 'entity': -8.314252, 'human': -12.90485, 'n': -13.1213045, 'location': -16.4856}]",description
What was the filling in the first golf balls ?,description,24,"[{'description': -0.0049150544, 'entity': -5.391702, 'n': -7.9625564, 'human': -14.935899, 'location': -15.778931}]",description
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,entity,7,"[{'description': -0.2686407, 'entity': -1.4458945, 'ab': -10.9977665, 'human': -11.09083, 'n': -11.156617}]",description
What country was A Terrible Beauty to Leon Uris ?,location,33,"[{'location': -0.25818703, 'entity': -1.4885184, 'description': -6.342278, 'ab': -9.798135, 'n': -10.568582}]",location
What is typhoid fever ?,description,24,"[{'description': -0.0031872103, 'entity': -5.7507534, 'n': -13.331089, 'human': -16.193966, 'ab': -16.524061}]",description
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,location,35,"[{'description': -0.12061352, 'entity': -2.192795, 'location': -6.2352223, 'human': -10.215332, 'n': -10.680267}]",description
What are the Twin Cities ?,description,24,"[{'location': -0.062614106, 'entity': -3.0586696, 'description': -4.3078914, 'ab': -8.245757, 'n': -10.839072}]",location
What is Beethoven 's 9th symphony called ?,entity,5,"[{'description': -0.06817224, 'entity': -2.7202337, 'ab': -10.441249, 'n': -11.699945, 'human': -12.602832}]",description
Name the lawyer for Randy Craft .,human being,29,"[{'human': -0.15853843, 'entity': -1.9248958, 'description': -7.2700424, 'n': -11.050216, 'location': -12.226882}]",human
Which breakfast cereal brought you `` the best each morning '' ?,entity,9,"[{'description': -0.000770222, 'entity': -7.1750712, 'n': -12.892371, 'human': -13.213935, 'location': -15.631865}]",description
"What does Ms. , Miss , and Mrs. stand for ?",abbreviation,1,"[{'ab': -9.365555e-05, 'description': -9.542657, 'entity': -10.797441, 'n': -13.432191, 'human': -19.154892}]",ab
What is the Homelite Inc. home page ?,location,35,"[{'entity': -0.008638354, 'description': -4.8601856, 'ab': -7.67927, 'location': -7.8911066, 'n': -11.070826}]",entity
"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",entity,18,"[{'description': -0.14002304, 'entity': -2.0354393, 'n': -10.196693, 'ab': -13.985184, 'human': -14.405112}]",description
What mountainous region of the world is the Lhasa Apso dog native to ?,location,35,"[{'location': -0.07030627, 'description': -2.9835522, 'entity': -4.0598006, 'n': -10.807252, 'ab': -12.012085}]",location
What cancer is commonly associated with AIDS ?,entity,7,"[{'description': -0.4818825, 'entity': -0.96169513, 'ab': -9.790865, 'human': -9.831447, 'n': -10.646769}]",description
How long does it take light to reach the Earth from the Sun ?,numeric value,44,"[{'n': -0.001400033, 'entity': -7.2452354, 'description': -7.290119, 'ab': -13.094096, 'location': -13.668345}]",n
Who lives at 39 Stone Canyon Way ?,human being,29,"[{'location': -0.009495033, 'entity': -4.7191963, 'human': -7.8830376, 'description': -9.227413, 'n': -9.859097}]",location
How many questions are on this thing ?,numeric value,38,"[{'n': -5.460492e-07, 'entity': -14.660179, 'description': -15.934783, 'ab': -17.80819, 'human': -20.908508}]",n
Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,human being,29,"[{'human': -0.09600081, 'entity': -2.4057007, 'description': -6.6331024, 'n': -11.027374, 'ab': -13.532042}]",human
"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",human being,29,"[{'human': -0.09515722, 'entity': -2.4991946, 'description': -4.7555194, 'location': -11.72188, 'n': -12.037607}]",human
Who played the title role in I Was a Teenage Werewolf ?,human being,29,"[{'human': -0.030686634, 'entity': -3.5205472, 'description': -7.374116, 'n': -11.593232, 'ab': -14.620386}]",human
Why are there olives in martinis ?,description,27,"[{'description': -0.00016447584, 'entity': -8.725469, 'n': -13.7226515, 'human': -14.394855, 'location': -15.051128}]",description
In what year did Hitler gain power of Germany ?,numeric value,39,"[{'n': -3.2735214e-05, 'entity': -10.432238, 'description': -12.946955, 'ab': -13.960771, 'location': -16.694092}]",n
What year did Rossetti paint `` Beata Beatrix '' ?,numeric value,39,"[{'n': -0.00011285097, 'entity': -9.29244, 'description': -11.022856, 'ab': -12.354841, 'location': -16.367064}]",n
